MODEL,PRED_DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
1,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
2,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
2,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
2,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
3,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
3,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
3,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
4,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
4,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
4,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
5,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
5,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
5,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
6,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
6,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
6,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
7,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
7,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
7,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
8,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
8,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
8,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.849,1.6500000000000001,1.656,8.013,8.058,3.387,5.331,6.204,6.714,3.1799999999999997,0.69,0.003,0.0,0.0,0.0,0.0,0.0
9,2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.49199999999999994,4.539,9.345,11.754,19.056,29.358,32.262,34.011,30.681000000000004,29.658,24.402,16.035,3.231,0.021,0.0,0.0,0.0,0.0,0.0
9,2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.372,1.833,7.317,13.74,12.881999999999998,22.059,20.529,10.425000000000002,13.128000000000002,5.766,9.765,4.605,0.213,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.878,2.79,10.344,10.035000000000002,27.717,27.864,18.201,13.407,9.687,12.108,9.87,2.307,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.11700000000000002,2.016,5.478,6.915,9.522,7.631999999999999,16.161,20.331,20.762999999999998,19.995,7.764000000000001,2.5139999999999993,1.485,0.024,0.0,0.0,0.0,0.0,0.0
9,2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.24599999999999997,3.294,8.163,12.438,19.626,25.665,27.966,27.837,23.778,11.349,7.581,4.839,0.822,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.092,4.566,10.755,13.074,18.351,33.078,33.639,32.22,23.910000000000004,12.950999999999999,7.293000000000001,1.455,0.0,0.0,0.0,0.0,0.0,0.0
