frame_num,id,d2x,d2y,rx,ry,heading
0,V2,616,155,84392,21235,
0,V1,901,114,123437,15618,
1,V4,650,118,89050,16166,
1,V3,345,406,47265,55622,
1,V1,902,114,123574,15618,
2,V1,902,110,123574,15070,
21,V24,304,178,41648,24386,
21,V19,683,200,93571,27400,
21,V18,647,137,88639,18769,
21,V16,536,133,73432,18221,
22,V24,294,179,40278,24523,
22,V19,676,212,92612,29044,
22,V18,636,147,87132,20139,
22,V16,534,138,73158,18906,
23,V24,279,178,38223,24386,
23,V19,670,219,91790,30003,
23,V18,622,163,85214,22331,
23,V17,955,165,130835,22605,
23,V16,537,143,73569,19591,
24,V19,665,230,91105,31510,
24,V18,608,177,83296,24249,
24,V16,534,150,73158,20550,
25,V19,658,236,90146,32332,
25,V18,586,195,80282,26715,
25,V16,532,155,72884,21235,
26,V23,972,114,133164,15618,
26,V19,655,245,89735,33565,
27,V43,912,140,124944,19180,
27,V42,945,164,129465,22468,
27,V41,769,103,105353,14111,
27,V32,533,239,73021,32743,
27,V23,973,113,133301,15481,
27,V19,653,250,89461,34250,
28,V46,656,140,89872,19180,
28,V43,908,133,124396,18221,
28,V42,937,159,128369,21783,
28,V19,652,256,89324,35072,
28,V16,526,170,72062,23290,
29,V46,644,147,88228,20139,
29,V42,920,152,126040,20824,
29,V19,649,261,88913,35757,
29,V16,518,178,70966,24386,
30,V19,642,268,87954,36716,
30,V16,502,185,68774,25345,
31,V19,642,273,87954,37401,
31,V16,484,196,66308,26852,
32,V41,803,141,110011,19317,
32,V19,643,275,88091,37675,
37,V49,626,189,85762,25893,
37,V19,648,276,88776,37812,
40,V19,647,275,88639,37675,
44,V46,482,284,66034,38908,
44,V19,644,274,88228,37538,
45,V46,451,308,61787,42196,
45,V19,647,275,88639,37675,
48,V55,1133,171,155221,23427,
60,V78,641,273,87817,37401,
60,V77,289,316,39593,43292,
60,V76,970,299,132890,40963,
60,V75,488,289,66856,39593,
60,V74,1181,341,161797,46717,
60,V72,573,127,78501,17399,
60,V69,633,146,86721,20002,
61,V86,1025,438,140425,60006,
61,V78,644,273,88228,37401,
61,V76,962,272,131794,37264,
61,V72,567,133,77679,18221,
61,V71,540,225,73980,30825,
61,V69,628,149,86036,20413,
62,V79,494,181,67678,24797,
62,V78,642,274,87954,37538,
62,V76,954,249,130698,34113,
62,V72,556,139,76172,19043,
62,V71,525,241,71925,33017,
62,V69,623,154,85351,21098,
63,V87,789,209,108093,28633,
63,V79,478,192,65486,26304,
63,V78,640,275,87680,37675,
63,V76,946,232,129602,31784,
63,V75,400,370,54800,50690,
63,V72,544,144,74528,19728,
63,V71,507,260,69459,35620,
63,V70,922,174,126314,23838,
63,V69,617,158,84529,21646,
64,V94,649,132,88913,18084,
64,V91,1250,197,171250,26989,
64,V87,789,212,108093,29044,
64,V86,984,317,134808,43429,
64,V79,459,205,62883,28085,
64,V78,639,275,87543,37675,
64,V76,938,215,128506,29455,
64,V75,352,409,48224,56033,
64,V74,1093,243,149741,33291,
64,V72,533,148,73021,20276,
64,V71,481,284,65897,38908,
64,V69,610,164,83570,22468,
65,V99,1005,441,137685,60417,
65,V94,649,135,88913,18495,
65,V91,1251,189,171387,25893,
65,V89,300,296,41100,40552,
65,V87,792,213,108504,29181,
65,V79,441,218,60417,29866,
65,V78,641,274,87817,37538,
65,V74,1078,225,147686,30825,
65,V72,523,157,71651,21509,
65,V69,603,171,82611,23427,
66,V99,995,389,136315,53293,
66,V91,1255,184,171935,25208,
66,V89,261,326,35757,44662,
66,V87,793,216,108641,29592,
66,V82,684,228,93708,31236,
66,V79,420,232,57540,31784,
66,V78,641,275,87817,37675,
66,V74,1064,210,145768,28770,
66,V72,514,167,70418,22879,
66,V69,598,177,81926,24249,
66,V66,96,322,13152,44114,
67,V104,639,145,87543,19865,
67,V99,982,346,134534,47402,
67,V95,901,137,123437,18769,
67,V93,716,169,98092,23153,
67,V89,203,356,27811,48772,
67,V87,792,215,108504,29455,
67,V86,961,241,131657,33017,
67,V82,682,228,93434,31236,
67,V79,391,248,53567,33976,
67,V78,639,275,87543,37675,
67,V74,1047,195,143439,26715,
67,V72,501,173,68637,23701,
67,V71,359,392,49183,53704,
67,V69,587,185,80419,25345,
67,V66,94,323,12878,44251,
68,V108,1099,254,150563,34798,
68,V107,910,169,124670,23153,
68,V105,547,141,74939,19317,
68,V104,630,149,86310,20413,
68,V99,970,310,132890,42470,
68,V95,896,128,122752,17536,
68,V93,710,175,97270,23975,
68,V86,949,222,130013,30414,
68,V82,681,229,93297,31373,
68,V79,354,269,48498,36853,
68,V78,638,274,87406,37538,
68,V74,1032,182,141384,24934,
68,V72,486,179,66582,24523,
68,V69,575,196,78775,26852,
68,V66,89,319,12193,43703,
69,V108,1084,238,148508,32606,
69,V107,908,158,124396,21646,
